Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Battery,C493111
"C1, C2, C5",0805,3,0.1uF,C49678
C3,0603,1,10uF,C19702
C4,0603,1,22uF,C59461
D1,0603,1,LED,C965799
"D2, D3",SK6812MINI-E,2,SK6812MINI,C5149201
"D4, D5",D_SMA-SMB_Universal_Handsoldering,2,D_Shockley,C85098
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
L1,1008,1,2.2µH/±20%/1.5A,C2988369
Q5,SOT-23,1,BSS138,C171762
"R1, R2",0603,2,R5.1k,C2907044
R10,0603,1,1.8M,C2930026
R11,0603,1,200k,C105574
R3,0603,1,120,C114640
"R4, R5, R6",0603,3,10K,C98220
R7,0603,1,15k,C2906995
"R8, R9",0603,2,100k,C14675
"SW2, SW3",SW_Cherry_MX_PCB_1.00u,2,SW_Push,
"SW_BOOT1, SW_RESET1",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C115357
U1,NanoS3_HandSolder,1,NanoS3,
U2,PS4_joystick,1,COM-09032,
U3,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,C140320
